PERMNO,date,BIDLO,ASKHI,PRC,VOL,BID,ASK,NUMTRD,Ticker
10107,1/2/2019,98.94,101.75,101.12,35347045,101.12,101.13,239618,SPY
10107,1/3/2019,97.2,100.185,97.4,42570779,97.35,97.38,302446,
10107,1/4/2019,98.93,102.51,101.93,44032862,101.93,101.94,301838,
10107,1/7/2019,100.98,103.2681,102.06,35650303,102.04,102.06,240581,
10107,1/8/2019,101.7134,103.97,102.8,31531077,102.81,102.82,224953,
10107,1/9/2019,103.2445,104.88,104.27,32279340,104.29,104.31,233483,
10107,1/10/2019,102.38,103.75,103.6,30055256,103.56,103.6,177689,
10107,1/11/2019,101.64,103.44,102.8,28277502,102.76,102.78,187594,
10107,1/14/2019,101.26,102.8716,102.05,28416379,102.04,102.06,149619,
10107,1/15/2019,101.88,105.05,105.01,31572516,105,105.02,208420,
10107,1/16/2019,104.96,106.255,105.38,29843819,105.37,105.38,197491,
10107,1/17/2019,104.76,106.625,106.12,28385667,106.14,106.16,184249,
10107,1/18/2019,105.91,107.9,107.71,37412087,107.7,107.72,217682,
10107,1/22/2019,104.86,107.1,105.68,32363345,105.82,105.83,200438,
10107,1/23/2019,105.34,107.04,106.71,25902190,106.78,106.79,180088,
10107,1/24/2019,105.34,107,106.2,23161238,106.18,106.19,166438,
10107,1/25/2019,106.59,107.88,107.17,31212898,107.16,107.17,191812,
10107,1/28/2019,104.66,106.48,105.08,29462419,105.08,105.09,214258,
10107,1/29/2019,102.17,104.97,102.94,31450347,102.93,102.95,212464,
10107,1/30/2019,104.33,106.38,106.38,49469836,106.32,106.38,321209,
10107,1/31/2019,103.18,105.22,104.43,55638678,104.41,104.48,327995,
10107,2/1/2019,102.35,104.0999,102.78,35525014,102.77,102.82,215467,
10107,2/4/2019,102.77,105.8,105.74,31306982,105.78,105.79,195420,
10107,2/5/2019,105.96,107.27,107.22,27311165,107.22,107.23,169540,
10107,2/6/2019,105.53,107,106.03,20583459,106.11,106.12,146613,
